Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2021-06-18,219.770004,221.5,219.479996,221.119995,221.119995,37779,91.785,91.735,91.895,91.505,18700,0.04%
2021-06-17,222.899994,223.380005,222.139999,222.139999,222.139999,23130,91.751,91.89,92.135,91.645,17330,-0.14%
2021-06-16,225.690002,225.809998,224.899994,225.460007,225.460007,13930,91.881,92.28,92.36,91.82,20050,-0.36%
2021-06-15,226.089996,226.089996,225.199997,225.889999,225.889999,30754,92.209,91.86,92.395,91.805,26120,0.37%
2021-06-11,228.619995,229.080002,228.449997,228.770004,228.770004,14190,91.873,91.375,91.995,91.285,48180,0.73%
2021-06-10,228.089996,228.119995,227.289993,227.330002,227.330002,13614,91.208,90.49,91.385,90.41,46860,0.78%
2021-06-09,228.520004,228.699997,228.080002,228.080002,228.080002,24077,90.502,90.47,90.64,90.31,13540,0.03%
2021-06-08,228.559998,229.199997,228.389999,228.699997,228.699997,31581,90.475,90.485,90.565,90.485,60,-0.08%
2021-06-07,227.880005,228.179993,227.360001,227.360001,227.360001,17629,90.55,90.06,90.61,89.96,9620,0.52%
2021-06-04,228.009995,228.179993,226.570007,227.940002,227.940002,114694,90.078,90.15,90.325,89.99,24150,-0.05%
2021-06-03,230,230.020004,229.440002,229.529999,229.529999,17624,90.121,90.135,90.17,89.83,25270,0.05%
2021-06-02,228.550003,228.970001,228.050003,228.830002,228.830002,22500,90.076,89.995,90.175,89.95,22330,0.14%
2021-06-01,230.080002,231,229.660004,231,231,21857,89.946,90.15,90.3,89.905,31860,-0.21%
2021-05-31,230.539993,230.979996,230.139999,230.529999,230.529999,16437,90.133,90.49,90.625,90.015,24470,-0.41%
2021-05-28,229.059998,229.059998,227.889999,228.520004,228.520004,16236,90.501,89.905,90.555,89.88,31500,0.67%
2021-05-27,228.789993,229.350006,228.490005,229.350006,229.350006,26469,89.901,89.91,90.235,89.855,16370,0.09%
2021-05-26,228.770004,229.300003,228.149994,228.309998,228.309998,22240,89.819,89.795,89.94,89.65,20190,-0.19%
2021-05-25,226.369995,226.369995,225.580002,226.020004,226.020004,24386,89.993,89.995,90.115,89.805,11700,0.00%
2021-05-24,227.600006,228.220001,227.300003,227.410004,227.410004,20475,89.993,89.995,90.43,89.97,33300,0.04%
2021-05-21,225.360001,226,225.039993,225.809998,225.809998,17519,89.959,90.075,90.18,89.895,19020,-0.08%
2021-05-20,225.580002,226.539993,225.289993,225.839996,225.839996,36988,90.03,89.695,90.105,89.58,18220,0.45%
2021-05-19,224.270004,224.479996,223.809998,224.449997,224.449997,12127,89.628,89.835,89.855,89.515,21140,-0.23%
2021-05-18,224.679993,224.75,223.639999,224.240005,224.240005,32972,89.838,90.015,90.105,89.75,15800,-0.19%
2021-05-17,221.619995,223.520004,221.619995,223.270004,223.270004,35758,90.005,89.79,90.155,89.63,24870,0.23%
2021-05-14,220.820007,220.919998,220.149994,220.559998,220.559998,29141,89.795,90.205,90.225,89.735,18130,-0.44%
2021-05-13,219.539993,220.330002,219.199997,220.330002,220.330002,34190,90.191,89.775,90.28,89.68,32530,0.51%
2021-05-12,218.779999,219.350006,218.350006,219.210007,219.210007,42375,89.734,90.185,90.19,89.675,21720,-0.45%
2021-05-11,218.759995,219.279999,218.479996,218.679993,218.679993,22435,90.142,90.345,90.415,90.125,17800,-0.19%
2021-05-10,217.929993,218.600006,217.580002,218.589996,218.589996,28623,90.318,90.735,90.795,90.27,20260,-0.46%
2021-05-07,217.539993,218.839996,217.470001,218.270004,218.270004,35321,90.735,90.735,90.91,90.575,27510,0.05%
2021-05-06,215.070007,216.720001,214.990005,216.339996,216.339996,20687,90.686,90.185,90.79,90.13,46710,0.62%
2021-05-05,215.220001,215.350006,214.800003,215.309998,215.309998,28956,90.124,90.23,90.335,89.955,35660,-0.07%
2021-05-04,215.699997,216.100006,215.270004,215.389999,215.389999,18110,90.185,90.215,90.325,90.015,27530,-0.03%
2021-05-03,213.940002,215,213.699997,215,215,14028,90.216,90.875,90.955,90.17,46400,-0.79%
2021-04-30,212.960007,212.960007,212.009995,212.550003,212.550003,13361,90.936,91.255,91.38,90.865,24520,-0.39%
2021-04-29,213.490005,214.410004,213.490005,213.809998,213.809998,22759,91.293,91.255,91.435,91.165,15390,0.02%
2021-04-28,213.509995,214,212.860001,213.490005,213.490005,28740,91.275,90.985,91.39,90.965,26330,0.38%
2021-04-27,213.309998,213.679993,212.830002,213.610001,213.610001,15498,90.927,91.27,91.385,90.845,23130,-0.38%
2021-04-26,214.259995,214.330002,213.809998,213.960007,213.960007,14980,91.27,90.6,91.32,90.58,29910,0.75%
2021-04-23,216.259995,216.490005,215.440002,215.580002,215.580002,16105,90.593,90.525,90.77,90.395,22120,0.00%
